Patent ID,Generated Question
EP2504021A2,<IMG> Does this molecule have a core structure?
EP2504031A1,<IMG> Is this molecule considered a core structure?
EP2504033A1,<IMG> Does this molecule represent a core structure?
EP2505201A1,<IMG> Is this molecule considered a core scaffold in drug design?
EP2505201A2,<IMG> Is this molecule a core structure in medicinal chemistry?
EP2506921A1,<IMG> Does this molecule serve as a core framework?
EP2506924A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP2506938A2,<IMG> Does this molecule represent a fundamental core structure?
EP2509601A1,<IMG> Is this molecule considered a core structure?
EP2509601A2,<IMG> Does this molecular image depict a core scaffold?
EP2509608B1,<IMG> Does this molecular image show a core structure?
EP2509611A2,<IMG> Is this molecule considered a core structure?
EP2509613A2,<IMG> Is the molecule shown here considered a core structure?
EP2509616A1,<IMG> Does this molecular image show a core structure?
EP2509616A2,<IMG> Is this molecule considered a core scaffold in medicinal chemistry?
EP2509616B1,<IMG> Is this molecule shown a fundamental core structure?
EP2509617A2,<IMG> Is this structure considered a core scaffold?
EP2509618A2,<IMG> Is the molecule shown here considered a core structure?
EP2509618B1,<IMG> Is this molecule considered a core structure?
EP2561864A1,<IMG> Does this molecule represent a core scaffold?
EP2561865A2,<IMG> Is this molecule considered a core structure?
EP2561869A1,<IMG> Is this molecule considered a core structure?
EP2567689A1,<IMG> Does this molecule represent a core framework?
EP2567690A1,<IMG> Is this compound a core structure?
EP2567696A1,<IMG> Does this molecule represent a core structure?
EP2586453A1,<IMG> Does this molecule represent a core structure in medicinal chemistry?
EP2586457A1,<IMG> Does this molecule shown in the image qualify as a core structure?
EP2596769A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2617448A1,<IMG> Does this molecule represent a core structural component?
EP2654321A1,<IMG> Does this molecule represent a core structure?
EP2703001A1,<IMG> Does this molecular image show a core structure?
EP2711012A1,<IMG> Does this molecule have a core-like structure?
EP2711013A1,<IMG> Is this molecule shown a core structure?
EP2711018A1,<IMG> Is this molecule a core structure based on its image?
EP2711416A1,<IMG> Is the molecule shown here considered a core structure?
EP2711423A1,<IMG> Does this molecule represent a core scaffold?
EP2712923A1,<IMG> Examine this molecule and determine whether it represents a core structure.
EP2712948A1,<IMG> Is this molecule shown in the image considered a core structure?
EP2716301A1,<IMG> Does this molecule represent a core scaffold structure?
EP2716345A1,<IMG> Does this molecular structure represent a core scaffold?
EP2719391A1,<IMG> Is this molecule considered a core structure?
EP2719392A1,<IMG> Is this molecule considered a core structure?
EP2719396A1,<IMG> Is this structure considered a core framework?
EP2719398A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2719402A1,<IMG> Is this molecule shown a core structure?
EP2719409A1,<IMG> Does this molecule serve as a core framework in drug design?
EP2753368B1,<IMG> Is this compound a core structure?
EP2753371A1,<IMG> Is this molecule a core structure in the given context?
EP2753394A1,<IMG> Does this molecule represent a core scaffold?
EP2754654A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2754656A1,<IMG> Is this structure considered a core framework?
EP2754658A1,<IMG> Does this molecule have a core-like structure?
EP2756821A1,<IMG> Is this molecule shown a core structure?
EP2756823A1,<IMG> Is this structure considered a core framework?
EP2756824A1,<IMG> Does this molecule represent a core scaffold structure?
EP2761234A1,<IMG> Does this molecule represent a core structure?
EP2764862A1,<IMG> Is this structure a core framework?
EP2764873A1,<IMG> Does this molecule serve as a core framework in the structure?
EP2764876A1,<IMG> Does this image show a core molecular framework?
EP2767261A1,<IMG> Does this molecule represent a core structural motif?
EP2769683A1,<IMG> Does this molecule represent a core scaffold?
EP2769702A1,<IMG> Is this compound a core structure in drug design?
EP2769723A1,<IMG> Does this molecule represent a fundamental core structure?
EP2769729A1,<IMG> Is this molecule considered a core structure?
EP2769876A1,<IMG> Does the molecule shown here serve as a core framework?
EP2781234A1,<IMG> Is this compound a core structure?
EP2786765A2,<IMG> Does this molecule represent a core scaffold?
EP2786789A1,<IMG> Does this molecule represent a fundamental core framework?
EP2800583A2,<IMG> Does this molecule serve as a core framework in the structure?
EP2800585A1,<IMG> Does this structure represent a molecular core scaffold?
EP2801335A2,Does the molecule shown in <IMG> represent a core structural motif?
EP2801345A1,<IMG> Is this structure a core framework in medicinal chemistry?
EP2801345A2,<IMG> Does this molecule represent a core framework?
EP2801357A1,<IMG> Does this molecular image represent a core scaffold?
EP2801367A1,<IMG> Does this molecule represent a core structure?
EP2801369A1,<IMG> Does this molecule contain a core framework?
EP2803345B1,<IMG> Does this molecule represent a fundamental core structure?
EP2803356A1,<IMG> Does this molecule represent a core structure when analyzed?
EP2803672A1,<IMG> Does this molecular image represent a core structure?
EP2803678A1,<IMG> Is this molecule shown here a core structure?
EP2805678A1,<IMG> Does this molecule have a core-like structure?
EP2805745A1,<IMG> Is this structure considered a core framework?
EP2805749A1,<IMG> Does this molecule have a core-like structure?
EP2815765A2,<IMG> Does this structure represent a molecular core?
EP2818145A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP2818155A1,<IMG> Does this molecular structure qualify as a core scaffold?
EP2818159A1,<IMG> Does this molecule represent a fundamental core structure?
EP2853256A1,<IMG> Examine this molecule and determine whether it represents a core structure.
EP2857064A1,<IMG> Is this structure considered a core framework in medicinal chemistry?
EP2862534A1,<IMG> Is this molecule shown a core structure?
EP2865400A1,<IMG> Does this molecule represent a core scaffold?
EP2865400A2,<IMG> Is this molecule considered a core structure?
EP2865401A1,<IMG> Does this molecular structure represent a core framework?
EP2865403A1,<IMG> Is this molecule shown a core framework?
EP2868301A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2868335A1,<IMG> Does this molecule represent a core framework?
EP2870953A1,<IMG> Does this molecule have a core-like structure?
EP2870973A1,<IMG> Is this molecule considered a core structure?
EP2872456A1,<IMG> Is this molecule shown here considered a core structure?
EP2873385A1,<IMG> Does this molecule serve as a core framework in the image?
EP2873402A1,<IMG> Does the molecule shown here serve as a foundational core structure?
EP2873421A1,<IMG> Does this molecule represent a core structure?
EP2873425A1,<IMG> Does this molecule represent a fundamental core structure?
EP2873425B1,<IMG> Is this molecule a core structure?
EP2873426A1,<IMG> Does this structure represent a core scaffold?
EP2874612A1,<IMG> Does this image show a core molecular framework?
EP2890412A1,<IMG> Does this molecule exhibit a core structure in its arrangement?
EP2891234A2,<IMG> Is this molecule considered a core structure?
EP2891234B1,<IMG> Is this compound a core structural framework?
EP2892436A1,<IMG> Does this molecule serve as a core framework in drug design?
EP2892456A1,<IMG> Does this molecule represent a core framework?
EP2893942A1,<IMG> Does this molecule represent a core framework?
EP2893951A1,<IMG> Does this molecule's architecture resemble a core structure?
EP2893956A1,<IMG> Does this molecule represent a fundamental core structure?
EP2895191A1,<IMG> Does this molecule qualify as a core structure?
EP2895213A1,<IMG> Examine this molecule and determine whether it qualifies as a core structure.
EP2895214A1,<IMG> Is this molecule considered a core structure?
EP2895219A1,<IMG> Is this molecule a core structure in the given image?
EP2895223A1,<IMG> Does this molecule represent a core scaffold?
EP2895678A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP2895678A2,<IMG> Does this molecule have a core-like structural framework?
EP2896387A1,<IMG> Is this molecule shown here considered a core structure?
EP2896401A1,<IMG> Does this molecule represent a fundamental core structure?
EP2896402A1,<IMG> Does this molecule represent a core structural motif?
EP2896405A1,<IMG> Does this molecule represent a core structure?
EP2896406A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2896406B1,<IMG> Is the molecule shown in this image a core structure?
EP2896407B1,<IMG> Is this molecule considered a core structure?
EP2896408A1,<IMG> Does this molecular image depict a core structure?
EP2896409A1,<IMG> Does this molecule serve as a core framework?
EP2896687A1,<IMG> Does this molecule serve as a core framework in its structure?
EP2896690A1,<IMG> Does this molecule exhibit a core-like structure?
EP2896696A1,<IMG> Does this molecule represent a core structure in chemical terms?
EP2898912A1,<IMG> Is this molecule considered a core structure?
EP2898932A1,<IMG> Does this molecular image depict a core structure?
EP2898932B1,<IMG> Does this molecular image represent a core scaffold?
EP2898956A1,<IMG> Is this molecule considered a core structure?
EP2899232A1,<IMG> Is this molecule considered a core structure?
EP2900689A2,<IMG> Is the molecule shown here considered a core structure?
EP2902001A1,<IMG> Does this molecule represent a core structure?
EP2907486A1,<IMG> Is this molecule considered a core structure in drug design?
EP2911693A1,<IMG> Does this molecule represent a fundamental core framework?
EP2918288A1,<IMG> Does this molecule represent a core framework?
EP2943167A1,<IMG> Does this molecule represent a core scaffold?
EP2946776A1,<IMG> Does this molecule represent a core structure?
EP2947100A1,<IMG> Does this molecule represent a core framework?
EP2959876A1,<IMG> Does this molecule represent a core scaffold in drug design?
EP2959887B1,<IMG> Is this molecule considered a core structure?
EP2981274B1,<IMG> Does this molecule represent a core structure?
EP2982345A1,<IMG> Does this molecule represent a core structure?
EP2985012A1,<IMG> Does this molecule have the characteristics of a core structure?
EP2986789A1,<IMG> Is this molecule shown here a core structure?
EP2987453A1,<IMG> Does this molecular image depict a core structure?
EP2987456A1,<IMG> Is this molecule a core structure?
EP2987456B1,<IMG> Does this molecular structure represent a core scaffold?
EP2987461A1,<IMG> Does this molecule represent a core framework?
EP2987463A1,<IMG> Does this molecular image represent a core structure?
EP2987654B1,<IMG> Is this molecule shown here considered a core scaffold?
EP2987821A1,<IMG> Is this molecule a core structure in drug design?
EP3001234A2,<IMG> Is this structure considered a core framework?
EP3012345A1,<IMG> Does this molecule represent a core framework?
EP3012345B1,<IMG> Does this molecule have the characteristics of a core structure?
EP3015523A1,<IMG> Is this molecule shown a fundamental core structure in medicinal chemistry?
EP3053601B1,<IMG> Is this molecule considered a core scaffold in medicinal chemistry?
EP3058952A1,<IMG> Does this molecule exhibit the characteristics of a core structure?
EP3058956A1,<IMG> Does this molecule serve as a core framework in the structure?
EP3059245A1,<IMG> Does this molecular structure serve as a fundamental core framework?
EP3072543A1,<IMG> Does this molecule represent a core framework?
EP3073994A1,<IMG> Does this molecular image depict a core structure?
EP3102245A1,Does the molecule shown in <IMG> represent a core structure?
EP3103450A1,<IMG> Does this molecule represent a core structural framework?
EP3103455A1,<IMG> Examine this compound's structure and determine if it qualifies as a core framework.
EP3103456A1,Does the molecule shown in <IMG> represent a core structure?
EP3103460A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3103466A1,<IMG> Is this structure a core framework commonly used in drug design?
EP3103473A1,<IMG> Is this compound a core structure?
EP3103475A1,<IMG> Does this molecule qualify as a core structure due to its architecture?
EP3103476A1,<IMG> Does this molecule exhibit the characteristics of a core structure?
EP3103482A1,<IMG> Does this molecule qualify as a core structure?
EP3103812A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP3108824A1,<IMG> Does this molecule serve as a core framework in its structure?
EP3108828A1,<IMG> Is this molecule considered a core structure?
EP3108892A1,<IMG> Is this molecular structure representative of a core framework in medicinal chemistry?
EP3108901A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3108906A1,<IMG> Does this molecule have a core-like structure?
EP3108907A1,<IMG> Does this molecule represent a core framework?
EP3115002A1,<IMG> Does this molecule qualify as a core structure?
EP3120867A1,<IMG> Does this molecule represent a core structure based on its image?
EP3123456A1,<IMG> Does this molecular structure represent a core pharmacophore?
EP3124536A1,<IMG> Is this molecule considered a core structure?
EP3124545A1,<IMG> Does this molecule represent a core framework?
EP3124557A1,<IMG> Does this molecule represent a core framework?
EP3124567A1,<IMG> Is this molecular structure a core framework?
EP3127890A1,<IMG> Does this molecule represent a core framework?
EP3127891A1,<IMG> Examine this molecule and determine whether it qualifies as a core structure.
EP3129876B1,<IMG> Does this molecule represent a fundamental core framework?
EP3153524A1,<IMG> Is the molecule shown in this image a core structure?
EP3178854A1,<IMG> Does this molecule represent a core scaffold structure?
EP3178865A1,<IMG> Is the molecule shown here considered a core structure?
EP3181155A1,<IMG> Does this molecular image show a core structure?
EP3184541A1,<IMG> Is this structure considered a core framework?
EP3200766A1,<IMG> Does this molecule qualify as a core structure?
EP3202345A1,<IMG> Is this structure considered a core framework?
EP3202393A1,<IMG> Does this molecular image represent a core scaffold?
EP3202400A1,<IMG> Is this structure a core framework in the molecule?
EP3202401A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP3202404A1,<IMG> Does this molecule represent a core structure?
EP3202779A1,<IMG> Does this molecule represent a fundamental core structure?
EP3204392A1,<IMG> Is this molecule a core structure?
EP3204410A1,<IMG> Is this molecule considered a core structure?
EP3205334A1,<IMG> Does this molecule represent a core structural motif?
EP3205338A1,<IMG> Is this structure considered a core framework?
EP3206615A1,<IMG> Is this molecule considered a core structure?
EP3206624A1,<IMG> Does this molecule have a core-like structure?
EP3207923A1,<IMG> Is the molecule shown here considered a core structure?
EP3207924A1,<IMG> Is this molecule considered a core structure?
EP3207943A1,<IMG> Does this molecule's framework resemble a core structure?
EP3207945A1,<IMG> Is this structure a core framework in the molecule?
EP3207946A1,<IMG> Does this molecule qualify as a core structure?
EP3209681A1,<IMG> Does this structure represent a core scaffold in drug design?
EP3209686A1,<IMG> Does this molecule qualify as a core scaffold?
EP3209687A1,<IMG> Does the structure shown here serve as a core framework?
EP3213746A1,<IMG> Is this molecule considered a core structure?
EP3216543A1,<IMG> Does this molecule have a core-like structure?
EP3219321A1,<IMG> Is the molecule shown here considered a core structure?
EP3219323A1,<IMG> Does this molecule represent a core structure?
EP3219324A1,<IMG> Does this molecule qualify as a core structural framework?
EP3219338A1,<IMG> Is this molecule considered a core structure?
EP3241836A1,<IMG> Does this molecule represent a core structure?
EP3241842A1,<IMG> Does this molecule serve as a core framework in drug design?
EP3241858A1,<IMG> Does this molecule represent a fundamental core structure?
EP3251643A1,<IMG> Is this molecule considered a core structure?
EP3251647A1,<IMG> Does this molecular image depict a core scaffold?
EP3251668A1,<IMG> Is this molecule considered a core structure?
EP3251683A1,<IMG> Does this molecule represent a core framework?
EP3251691A1,<IMG> Is this structure a core framework in the molecule?
EP3251692A1,<IMG> Does this structure serve as a core framework for larger molecules?
EP3251698A1,<IMG> Is this molecule a core structure in medicinal chemistry?
EP3252079A1,<IMG> Is this molecule considered a core structure?
EP3252121A1,<IMG> Is this structure considered a molecular core?
EP3252123A1,<IMG> Does this molecular structure represent a core pharmacophore?
EP3252145A1,<IMG> Does this molecule represent a core structural motif?
EP3254643A1,Does the molecule shown in <IMG> represent a core structure?
EP3254651A1,<IMG> Does this molecule represent a core framework?
EP3254657A1,<IMG> Does this molecule represent a core structure?
EP3254661A1,<IMG> Is this molecule shown in the image a core structure?
EP3254667A1,<IMG> Is this molecule shown a core structure?
EP3254678B1,<IMG> Is this molecule a core structure in the depicted image?
EP3255066A1,<IMG> Does this structure represent a core framework?
EP3257896A1,<IMG> Does this molecule represent a core framework?
EP3287092A1,<IMG> Does this molecular image show a core structure?
EP3287108A1,<IMG> Does this molecule represent a core framework?
EP3287109A1,<IMG> Does this molecule have a core-like structure?
EP3287114A1,<IMG> Is this structure a molecular core framework?
EP3287121A1,<IMG> Does this molecule have a core structure?
EP3287123A1,<IMG> Does this molecule serve as a core framework in the structure?
EP3287124A1,<IMG> Is this structure considered a core framework in medicinal chemistry?
EP3290456A1,<IMG> Does this molecule contain a core framework?
EP3303372A1,<IMG> Does this molecule qualify as a core structure?
EP3305308A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3305312A1,<IMG> Is this molecule shown here a core structure?
EP3307371A1,<IMG> Does this molecule represent a core structure based on its image?
EP3308809A1,<IMG> Does this molecule have a core-like structure?
EP3308823A1,<IMG> Is this molecule considered a core structure?
EP3309171A1,<IMG> Does this molecule have a core-like framework?
EP3311831A1,<IMG> Does this molecule represent a core structure?
EP3311836A1,<IMG> Does this molecular image show a core structure?
EP3315491A1,<IMG> Does this molecule represent a core scaffold in drug design?
EP3316821A1,<IMG> Is this structure considered a core framework in medicinal chemistry?
EP3317275A1,<IMG> Is the molecule shown here considered a core structure?
EP3318261A1,<IMG> Does this molecule represent a core structure?
EP3323421A1,<IMG> Is this molecule considered a core structure?
EP3326612A1,<IMG> Is the molecule shown here considered a core structure?
EP3331567A1,<IMG> Does this molecule have a core-like structure?
EP3335678A1,<IMG> Does this molecule have a core-like structure?
EP3339321A1,<IMG> Does this molecular image depict a core structure?
EP3339322A1,<IMG> Is this molecular structure considered a core framework?
EP3339325A1,<IMG> Does this molecular image depict a core structure?
EP3339332A1,<IMG> Does this molecule represent a core structure?
EP3342400A1,<IMG> Is this compound a core structure?
EP3342431A1,<IMG> Is this molecule representative of a core scaffold in drug design?
EP3345567A1,<IMG> Does this structure represent a core molecular scaffold?
EP3345578A1,<IMG> Does this molecule represent a core scaffold?
EP3345599A1,<IMG> Does this molecular image show a core structure?
EP3345612A1,<IMG> Does this molecule qualify as a core structure?
EP3345678B1,<IMG> Is this molecule shown in the image considered a core structure?
EP3349761A1,<IMG> Is the molecule shown here considered a core structure?
EP3351193A1,<IMG> Does this molecule represent a core structure in the given context?
EP3351226A1,<IMG> Is this structure a core framework in the molecule?
EP3366312A1,<IMG> Does this molecule represent a core framework?
EP3366324A1,<IMG> Does this molecule serve as a core framework in drug design?
EP3391873A1,<IMG> Is this molecule a core structure in drug design?
EP3401234A1,<IMG> Does this structure represent a core scaffold in drug design?
EP3403624A1,<IMG> Does this molecule represent a core structure in the given image?
EP3406234A1,<IMG> Does the molecule shown here serve as a foundational core structure?
EP3406623A1,<IMG> Does this molecule exhibit characteristics of a core structure?
EP3406624A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3406628A1,<IMG> Does this structure represent a core molecular framework?
EP3409663A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3409664A1,<IMG> Does this molecular image represent a core scaffold?
EP3411410A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3411423A1,<IMG> Does this molecular image show a core structure?
EP3412283A1,<IMG> Does this molecule represent a core framework?
EP3412284A1,<IMG> Does this molecule exhibit a core structure in its arrangement?
EP3412285A1,<IMG> Does the molecule shown here serve as a core framework?
EP3412287A1,<IMG> Does this molecule represent a core structure?
EP3418304A1,Does the molecule shown in <IMG> represent a core structure?
EP3424532A1,<IMG> Is this molecule considered a core structure?
EP3424536A1,<IMG> Does this molecule qualify as a core structure?
EP3456312A1,<IMG> Is the compound shown here considered a core structure?
EP3456789A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3456789A2,<IMG> Does this molecular image depict a core structure?
EP3501534A1,<IMG> Is the molecule shown here a core structure?
EP3501536A1,<IMG> Is this molecule considered a core structure?
EP3501543A1,<IMG> Is this molecule considered a core structure?
EP3501546A1,<IMG> Is the molecule shown here considered a core structure?
EP3501556A1,<IMG> Does this molecule exhibit the characteristics of a core structure?
EP3503881A1,<IMG> Is the molecule shown a core structure?
EP3513791A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3513794A1,<IMG> Does this molecular image show a core structure?
EP3517493A1,<IMG> Is the molecule shown here a core structure?
EP3524201A1,<IMG> Does this molecule have the characteristics of a core structure?
EP3528831A1,<IMG> Does this molecule serve as a core framework in the image?
EP3528835A1,<IMG> Does this molecule represent a core framework?
EP3560503A1,<IMG> Does this molecule represent a core framework?
EP3560504A1,<IMG> Does this molecule represent a core structural motif?
EP3569204A1,<IMG> Is this compound a core structure?
EP3601234A1,<IMG> Does this molecule have a core-like structure?
EP3673869A1,Does the molecule shown in <IMG> qualify as a core structure?
EP3675869A1,<IMG> Is this molecule considered a core structure?
EP3713661A1,<IMG> Is this structure a core framework of a larger compound?
EP3718567A1,<IMG> Does this molecule have a core-like structure?
EP3725318A1,<IMG> Examine this molecule and determine whether it represents a core structure.
EP4567890A1,<IMG> Does this molecule represent a core structure when examined visually?
EP4567890A2,<IMG> Does this molecule have a core-like structure?
EP4567890B1,<IMG> Is this molecular structure considered a core framework?
EP5566778B1,<IMG> Does this molecule have a core-like structure?
EP5678901A1,<IMG> Is this molecule considered a core structure?
EP6789012A1,<IMG> Is this molecule considered a core structure?
US10251899B2,<IMG> Does this molecule represent a core framework?
US10512645B2,<IMG> Is this compound a core structure in medicinal chemistry?
US20100015235A1,<IMG> Is this molecule considered a core structure?
US20130267547A1,<IMG> Could this molecule be considered a core structure?
US20140018491A1,<IMG> Does the molecule shown here serve as a core framework?
US20140045849A1,<IMG> Does this molecular structure represent a core pharmacophore motif?
US20140045876A1,<IMG> Does this molecule serve as a core framework in drug design?
US20140045888A1,<IMG> Does this molecular image depict a core scaffold?
US20140057960A1,<IMG> Is this compound a core structure?
US20140073657A1,<IMG> Is the molecule shown in this image a core structure?
US20140088085A1,<IMG> Is this molecule depicted a fundamental core structure?
US20140088090A1,<IMG> Does this molecule have a core-like structure?
US20140107102A1,<IMG> Is this molecule shown here a fundamental core structure?
US20140107162A1,<IMG> Examine this molecule and determine whether it represents a core structure.
US20140123456A1,<IMG> Does this molecule represent a core structure?
US20140296183A1,<IMG> Does this molecular structure represent a core framework?
US20140378489A1,<IMG> Is this compound a core framework?
US20150005362A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
US20150012345A1,Does the molecule shown in <IMG> represent a core structure?
US20150017252A1,<IMG> Does this structure represent a core molecular framework?
US20150017294A1,<IMG> Is this molecule considered a core structure?
US20150030678A1,<IMG> Is this molecule shown a core structure?
US20150031700A1,<IMG> Does this molecule represent a core framework?
US20150031710A1,<IMG> Does this molecule represent a core structure based on its image?
US20150031716A1,<IMG> Does this molecule exhibit the characteristics of a core structure?
US20150031723A1,<IMG> Does this image show a core molecular framework?
US20150031724A1,<IMG> Is this molecule shown a core structure?
US20150031732A1,<IMG> Is this molecular structure considered a core framework?
US20150031745A1,<IMG> Is this molecule considered a core scaffold?
US20150031763A1,<IMG> Does this molecule have the characteristics of a core structure?
US20150031770A1,<IMG> Does this molecule represent a core structure in the image?
US20150031789A1,<IMG> Is this molecule shown here a core structure?
US20150031794A1,<IMG> Does this molecular structure represent a core scaffold?
US20150037323A1,<IMG> Does this molecular image show a core structure?
US20150037345A1,<IMG> Does this molecular image depict a core structure?
US20150037394A1,<IMG> Does this molecule have the characteristics of a core structure?
US20150105321A1,<IMG> Is this compound a core structural motif?
US20150105465A1,<IMG> Does this molecule represent a core framework?
US20150209123A1,<IMG> Does this molecular image represent a core scaffold?
US20150232563A1,<IMG> Does this molecule serve as a core framework in the structure?
US20150232576A1,<IMG> Is this molecule shown a core structure?
US20150232598A1,<IMG> Does this molecule have a core-like structure?
US20150258133A1,<IMG> Does this molecule represent a core structure in the given image?
US20150258146A1,Does the molecule shown in <IMG> qualify as a core structure?
US20150283299A1,<IMG> Is the molecule shown here considered a core structure?
US20150306121A1,<IMG> Is this structure considered a core framework?
US20150328253A1,<IMG> Does this molecule exhibit a core structure based on its molecular framework?
US20150345678A1,<IMG> Does this molecule serve as a core framework in its structure?
US20150366802A1,<IMG> Does this molecule represent a core structural framework?
US20150366803A1,<IMG> Does this molecular structure qualify as a core pharmacophore?
US20150366806A1,<IMG> Is this molecule shown a core structure?
US20150366809A1,<IMG> Does this molecule qualify as a core structure due to its molecular framework?
US20150366817A1,<IMG> Is the molecule shown here considered a core structure?
US20150366823A1,<IMG> Does this molecular image show a core structure?
US20150366845A1,<IMG> Does this molecule serve as a core framework?
US20150366889A1,<IMG> Does this molecular image depict a core framework?
US20150366890A1,<IMG> Is the molecule shown in this image considered a core structure?
US20150366898A1,<IMG> Does this molecule represent a core structure?
US20150366899A1,<IMG> Does this molecule represent a core framework in the image?
US20150367890A1,<IMG> Is this molecule considered a core structure?
US20150376115A1,<IMG> Is the molecule shown here considered a core structure?
US20150376269A1,<IMG> Is the molecule shown here considered a core structure?
US20160002123A1,<IMG> Examine this molecule and determine whether it represents a core structure.
US20160002206A1,<IMG> Does this molecule represent a fundamental core structure?
US20160008339A1,<IMG> Does this molecule have a core-like structure?
US20160008345A1,<IMG> Does this molecule represent a fundamental building block or core structure?
US20160008456A1,<IMG> Is this molecule a core structure in the given context?
US20160015812A1,<IMG> Does this molecule represent a fundamental core framework?
US20160015818A1,<IMG> Does this molecule serve as a core framework?
US20160015852A1,<IMG> Does this molecule exhibit characteristics of a core structure?
US20160015872A1,<IMG> Is this molecule shown a core structure?
US20160022678A1,<IMG> Is this molecule considered a core structure?
US20160022690A1,<IMG> Does this molecule have a core-like structure?
US20160030678A1,<IMG> Is this molecule shown a core structure?
US20160051505A1,<IMG> Does this molecular image depict a core scaffold?
US20160051522A1,<IMG> Is this structure a core framework of the compound?
US20160051530A1,<IMG> Is this molecule considered a core structure in its class?
US20160051542A1,<IMG> Does this molecule have the characteristics of a core structure?
US20160051560A1,<IMG> Is this molecular structure a core framework?
US20160051567A1,<IMG> Is this structure a core framework of a larger compound?
US20160051573A1,<IMG> Does this molecule qualify as a core structure based on its image?
US20160051576A1,<IMG> Does this molecular image depict a core scaffold?
US20160058789A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
US20160122345A1,<IMG> Does this molecule represent a core structure?
US20160123456A1,<IMG> Is this molecule representative of a core structural framework?
US20160137605A1,<IMG> Is this compound a core structure?
